dataset,repeat,split_id,split_seed,split_policy,split_part,node_idx
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,87
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,85
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,62
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,134
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,149
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,51
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,138
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,25
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,115
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,31
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,33
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,67
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,35
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,97
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,42
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,171
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,117
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,137
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,28
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,142
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,167
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,29
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,70
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,127
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,38
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,7
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,145
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,80
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,135
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,37
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,181
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,21
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,16
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,82
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,60
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,77
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,111
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,8
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,78
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,90
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,182
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,32
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,59
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,74
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,147
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,15
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,23
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,139
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,61
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,155
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,71
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,160
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,157
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,30
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,180
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,168
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,49
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,55
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,131
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,164
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,84
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,158
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,0
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,99
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,132
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,129
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,40
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,68
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,130
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,43
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,75
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,3
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,109
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,166
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,69
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,1
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,174
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,18
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,173
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,151
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,12
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,176
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,19
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,179
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,6
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,172
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,train,122
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,143
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,22
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,116
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,81
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,86
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,48
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,141
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,161
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,66
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,104
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,126
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,45
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,133
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,53
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,103
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,152
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,27
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,105
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,96
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,114
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,46
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,54
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,79
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,44
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,88
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,119
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,107
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,163
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,112
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,13
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,110
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,144
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,50
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,150
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,128
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,148
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,156
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,93
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,14
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,11
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,92
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,39
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,118
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,41
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,165
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,98
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,106
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,140
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,154
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,9
cornell,0,,20260419,random_stratified_matching_fixed_split0_class_counts,val,4
