split,best_dim,node_idx_sorted,original_node_id,fold_id,true_label,pred_label,true_residual,best_other_label,best_other_residual,margin_to_other,true_total,true_evidence
0,64,4,4,1,2,4,4.5739201230077455,4,4.516125194311233,-0.057794928696512926,4.8795549339542195,0.3056348109464745
0,64,10,10,3,1,2,2.646849041618143,2,2.445638345800047,-0.20121069581809614,4.974605328979331,2.327756287361194
0,64,14,14,3,1,0,1.3910449744802806,0,0.8896792774959856,-0.501365696984295,2.2104587861118548,0.8194138116315737
0,64,16,16,0,4,3,4.558953779529841,3,3.398818404771256,-1.1601353747585854,4.909580812065718,0.3506270325358758
0,64,22,22,0,2,0,3.578605436382547,0,3.5471129868022375,-0.0314924495803095,4.600735259272597,1.0221298228900517
0,64,25,25,0,1,0,3.2001719483430318,0,2.855528599670411,-0.3446433486726206,3.798568789620707,0.5983968412776747
0,64,26,26,0,2,4,3.9494004678100527,4,3.5678074033698124,-0.3815930644402403,4.862322892806187,0.9129224249961325
0,64,28,28,1,2,0,4.354628991868931,0,4.32010487987211,-0.03452411199682093,5.12193479628202,0.7673058044130872
0,64,29,29,0,2,3,4.520697761488689,3,2.57954791537416,-1.9411498461145293,5.161925031248964,0.6412272697602746
0,64,35,35,2,1,3,4.048330900643952,3,3.4067943468780437,-0.6415365537659086,5.133360589890126,1.085029689246174
0,64,50,50,1,4,2,3.789671461248001,2,3.1790293681116637,-0.6106420931363372,4.429643660089937,0.6399721988419367
0,64,52,52,0,3,4,2.701503073961212,4,2.563599694215388,-0.13790337974582423,4.3019871478214675,1.600484073860254
0,64,53,53,2,2,1,2.5772592712474363,1,2.506383089823992,-0.07087618142344443,4.481956809780442,1.904697538533006
0,64,62,62,2,1,2,4.349397558527599,2,3.0119831255790435,-1.3374144329485556,5.078550543439929,0.7291529849123293
0,64,63,63,2,2,0,4.233153110636945,0,3.1576235642346,-1.0755295464023447,4.918431199576636,0.6852780889396912
0,64,70,70,1,0,1,1.7154767962443396,1,1.3984734464948207,-0.3170033497495188,4.146586392866857,2.4311095966225205
0,64,86,86,2,0,1,2.384644125254117,1,2.058817669416057,-0.3258264558380599,3.273964389533985,0.8893202642798702
0,64,93,93,0,2,4,4.476866120549386,4,4.075345378984889,-0.4015207415644966,5.048800177492611,0.5719340569432247
0,64,107,107,1,3,0,4.1221898008425235,0,3.539417553698345,-0.5827722471441783,4.8877149246546105,0.7655251238120875
0,64,113,113,1,0,2,4.003722042767132,2,3.007635078021461,-0.9960869647456709,5.38514631138384,1.3814242686167049
0,64,120,120,0,3,1,3.2331717217711007,1,2.4741831241035506,-0.7589885976675501,4.3814450534966785,1.1482733317255776
0,64,127,127,1,3,1,4.365486265405441,1,2.851264899714751,-1.5142213656906902,5.105530226332743,0.7400439609273018
0,64,129,129,0,0,3,3.6460316602410403,3,3.3783027059994764,-0.26772895424156395,5.073308359220324,1.4272766989792842
0,64,140,140,3,2,0,4.889041720684249,0,3.83145549195152,-1.057586228732729,5.2901937460868345,0.40115202540258554
0,64,148,148,3,4,2,4.7749218413311505,2,2.2610051798552386,-2.513916661475912,5.061953734691248,0.2870318933600975
0,64,150,150,2,1,0,2.101933120737269,0,1.3461982172635696,-0.7557349034736993,3.1811224286778597,1.079189307940591
0,64,160,160,0,3,4,3.1460450195454523,4,2.157923785877884,-0.9881212336675684,4.1110328849923015,0.9649878654468449
0,64,188,188,2,4,2,4.359948576247619,2,3.897721041831688,-0.46222753441593056,5.180560724316571,0.8206121480689543
0,64,189,189,0,1,0,3.4264604402617977,0,2.2124303412595303,-1.2140300990022674,4.122751948787185,0.6962915085253869
0,64,193,193,3,4,3,3.7626187372332045,3,3.414522526646802,-0.3480962105864025,4.658961319558378,0.8963425823251719
0,64,194,194,0,0,1,3.728166216474528,1,3.5288335117218708,-0.19933270475265719,5.328974973847462,1.6008087573729362
0,64,197,197,3,2,0,3.114511821969713,0,2.5663209716632114,-0.5481908503065016,4.927949029341199,1.8134372073714857
0,64,198,198,0,0,4,5.076699130710625,4,4.387289545723031,-0.6894095849875939,5.79132352402641,0.714624393315785
0,64,205,205,2,2,4,2.3162021068207777,4,2.262090895058709,-0.05411121176206857,4.291499846882555,1.9752977400617793
0,64,209,209,3,2,3,3.839057789581722,3,3.158059577402003,-0.6809982121797193,4.5378025389234615,0.6987447493417398
0,64,211,211,3,3,0,2.6011097529996228,0,2.497795904709064,-0.10331384829055867,4.15341068752759,1.5523009345279701
0,64,213,213,2,1,0,1.9393455237658763,0,1.9169434137640056,-0.022402110001870756,4.418171099167836,2.478825575401965
0,64,223,223,3,2,0,2.458532142226098,0,1.851896209343837,-0.606635932882261,4.513531437660253,2.054999295434155
0,64,237,237,0,1,3,4.56709661058973,3,4.030433157728573,-0.5366634528611574,5.29902646483905,0.7319298542493189
0,64,246,246,0,0,1,3.0197882063712904,1,2.3924139131520494,-0.627374293219241,4.220058304165399,1.2002700977941088
0,64,261,261,0,2,1,1.0797244803455457,1,0.5158509316740405,-0.5638735486715052,3.739102176942626,2.659377696597072
0,64,265,265,2,2,4,4.776814337913709,4,3.086225146381599,-1.6905891915321103,5.016332696640472,0.2395183587267634
0,64,270,270,2,2,3,3.2788841195788123,3,2.945222938429059,-0.3336611811497532,5.056240829873749,1.7773567102949384
0,64,276,276,2,0,2,3.5215661848003257,2,2.2512268234367685,-1.2703393613635572,5.251434083136983,1.729867898336658
0,64,281,281,0,4,2,2.831184165943051,2,2.7802438713524733,-0.05094029459057747,4.246086166053903,1.41490200011085
0,64,308,308,1,1,2,3.1396790276631865,2,2.162320322955766,-0.9773587047074206,4.941657203047712,1.8019781753845292
0,64,309,309,3,3,2,4.227026966564332,2,4.189098010162408,-0.03792895640192384,4.955144251022393,0.7281172844580612
0,64,312,312,0,4,0,2.534141765354965,0,1.9997975230031932,-0.5343442423517719,4.753521925300236,2.2193801599452674
0,64,314,314,3,2,4,3.7720481179020555,4,3.441653138938907,-0.3303949789631484,4.5575526599477865,0.7855045420457305
0,64,317,317,3,3,2,4.281898492807143,2,4.246322321561719,-0.03557617124542389,5.146298432527189,0.8643999397200467
0,64,318,318,0,0,2,5.038666522153492,2,4.987717459565536,-0.050949062587956284,5.787520135339827,0.7488536131863348
0,64,338,338,1,1,2,3.405685425566726,2,2.9921761859190754,-0.4135092396476505,5.190074464234134,1.7843890386674057
0,64,343,343,3,3,4,3.3553847078455723,4,3.220983928833489,-0.13440077901208314,4.162355768575113,0.8069710607295384
0,64,344,344,0,1,2,4.676073190560385,2,3.8840835065712196,-0.7919896839891654,5.233713868639825,0.5576406780794395
0,64,346,346,0,4,0,4.732156484530039,0,4.5549635319529855,-0.17719295257705348,4.979733872065152,0.24757738753511313
0,64,353,353,0,3,2,4.564180163848434,2,3.2862164090919954,-1.2779637547564384,5.0715462715463016,0.5073661076978677
0,64,355,355,1,2,3,3.877184018762493,3,2.750455671456451,-1.126728347306042,4.464964085174538,0.587780066412043
0,64,363,363,0,0,1,2.964147691001017,1,2.7354947729568533,-0.22865291804416366,4.5926394079745005,1.628491716973484
0,64,364,364,0,0,1,0.48138851823650297,1,0.43825876057038404,-0.04312975766611893,1.7798007834163372,1.2984122651798349
0,64,366,366,1,2,1,3.1115314687170645,1,2.6116091697863117,-0.4999222989307528,4.447344188800482,1.33581272008342
0,64,368,368,2,2,3,3.0436764468635924,3,2.9985784512221927,-0.04509799564139971,4.297828165559025,1.25415171869543
